audit_id,target,scale_group,prompt_type,prompt,image_name,localization_quality,error_type,score,bbox_area_ratio,notes,visualization_path
1,sleeve,larger_part,baseline,sleeve,106709.jpg,coarse,whole_garment,0.31011250615119934,0.33270606746445236,Box covers most of the dress/torso rather than the sleeve region.,outputs\grounding_manual_audit\sleeve\baseline\01_106709.jpg
2,sleeve,larger_part,baseline,sleeve,025354.jpg,coarse,whole_garment,0.3138134777545929,0.4575065628616766,Box spans the top and skirt; sleeves are included but not localized.,outputs\grounding_manual_audit\sleeve\baseline\02_025354.jpg
3,sleeve,larger_part,baseline,sleeve,022791.jpg,wrong,wrong_part,0.43775033950805664,0.11962629139015088,"Box is on the shorts, not the shirt sleeves.",outputs\grounding_manual_audit\sleeve\baseline\03_022791.jpg
4,sleeve,larger_part,baseline,sleeve,068877.jpg,wrong,wrong_part,0.31479743123054504,0.0892144356392622,"Box is on skirt/magazine region, away from the sleeve.",outputs\grounding_manual_audit\sleeve\baseline\04_068877.jpg
5,sleeve,larger_part,baseline,sleeve,055739.jpg,wrong,target_absent,0.3215658664703369,0.08076170660500595,Top is sleeveless; box is on the shorts.,outputs\grounding_manual_audit\sleeve\baseline\05_055739.jpg
6,sleeve,larger_part,context,shirt sleeve,147160.jpg,wrong,target_absent,0.3608763515949249,0.4126862562748736,Garment is sleeveless; box covers the torso.,outputs\grounding_manual_audit\sleeve\context\06_147160.jpg
7,sleeve,larger_part,context,shirt sleeve,097041.jpg,wrong,target_absent,0.3218120038509369,0.4622009485088548,Dress is sleeveless; box covers most of the garment.,outputs\grounding_manual_audit\sleeve\context\07_097041.jpg
8,sleeve,larger_part,context,shirt sleeve,076855.jpg,wrong,target_absent,0.36312025785446167,0.0830416070887522,Dress is sleeveless; box covers body/garment.,outputs\grounding_manual_audit\sleeve\context\08_076855.jpg
9,sleeve,larger_part,context,shirt sleeve,011391.jpg,coarse,whole_garment,0.35267719626426697,0.06061037216832551,"Short sleeves are present, but box covers most of the dress.",outputs\grounding_manual_audit\sleeve\context\09_011391.jpg
10,sleeve,larger_part,context,shirt sleeve,060324.jpg,wrong,target_absent,0.3695896863937378,0.1299917939985561,Top is sleeveless; box is on the shorts.,outputs\grounding_manual_audit\sleeve\context\10_060324.jpg
11,collar,larger_part,baseline,collar,057315.jpg,wrong,target_absent,0.3734091818332672,0.20692875758568335,No explicit collar is visible; box covers the torso.,outputs\grounding_manual_audit\collar\baseline\11_057315.jpg
12,collar,larger_part,baseline,collar,024562.jpg,wrong,face_head,0.4212842583656311,0.05099910142434445,Box is on the cap/head; T-shirt has no collar.,outputs\grounding_manual_audit\collar\baseline\12_024562.jpg
13,collar,larger_part,baseline,collar,040759.jpg,wrong,face_head,0.36054182052612305,0.00734136690235791,"Box is around the head/face, not the collar.",outputs\grounding_manual_audit\collar\baseline\13_040759.jpg
14,collar,larger_part,baseline,collar,082491.jpg,wrong,target_absent,0.30804774165153503,0.8149252344469583,No explicit collar structure is visible; box covers almost the whole person.,outputs\grounding_manual_audit\collar\baseline\14_082491.jpg
15,collar,larger_part,baseline,collar,068877.jpg,wrong,face_head,0.40133845806121826,0.04743926545216391,"Box is on the cap/head, not the collar.",outputs\grounding_manual_audit\collar\baseline\15_068877.jpg
16,collar,larger_part,context,shirt collar,030030.jpg,wrong,target_absent,0.3228633403778076,0.10922890656871549,No clear collar is visible; box covers the blouse torso.,outputs\grounding_manual_audit\collar\context\16_030030.jpg
17,collar,larger_part,context,shirt collar,084976.jpg,wrong,face_head,0.3426254987716675,0.03657568141626701,"Box is on the cap/head, not the collar.",outputs\grounding_manual_audit\collar\context\17_084976.jpg
18,collar,larger_part,context,shirt collar,026869.jpg,wrong,target_absent,0.38667094707489014,0.2223123300963353,Round-neck T-shirt has no explicit collar; box covers the torso.,outputs\grounding_manual_audit\collar\context\18_026869.jpg
19,collar,larger_part,context,shirt collar,163919.jpg,wrong,target_absent,0.42223960161209106,0.999619682910012,Round-neck knit garment has no collar; box covers the whole garment.,outputs\grounding_manual_audit\collar\context\19_163919.jpg
20,collar,larger_part,context,shirt collar,050408.jpg,wrong,wrong_part,0.36072006821632385,0.49803620669277937,"Image shows shorts; box covers the shorts, not a collar.",outputs\grounding_manual_audit\collar\context\20_050408.jpg
21,button,small_object,baseline,button,048101.jpg,wrong,non_clothing_object,0.348408579826355,0.028952852620634077,"Box is on the magazine/hand area, not a clothing button.",outputs\grounding_manual_audit\button\baseline\21_048101.jpg
22,button,small_object,baseline,button,139646.jpg,wrong,background_object,0.3031083345413208,0.047876939418865075,"Box is on the table/background, not clothing.",outputs\grounding_manual_audit\button\baseline\22_139646.jpg
23,button,small_object,baseline,button,188933.jpg,coarse,whole_image,0.3309697210788727,0.9938965636260451,"Buttons are visible, but the box covers nearly the entire image.",outputs\grounding_manual_audit\button\baseline\23_188933.jpg
24,button,small_object,baseline,button,151350.jpg,wrong,background_object,0.3017018437385559,0.10477741706142689,"Box is on the bottom/background strip, not a clothing button.",outputs\grounding_manual_audit\button\baseline\24_151350.jpg
25,button,small_object,baseline,button,163919.jpg,wrong,target_absent,0.3074242174625397,0.9992393088831716,No clear button is visible; box covers the whole garment.,outputs\grounding_manual_audit\button\baseline\25_163919.jpg
26,button,small_object,context,clothing button,048101.jpg,wrong,non_clothing_object,0.32999804615974426,0.028841632305371605,"Box is on the magazine/hand area, not a clothing button.",outputs\grounding_manual_audit\button\context\26_048101.jpg
27,button,small_object,context,clothing button,026477.jpg,wrong,target_absent,0.3082878589630127,0.9650704366688464,No clear button is visible; box covers almost the entire garment.,outputs\grounding_manual_audit\button\context\27_026477.jpg
28,button,small_object,context,clothing button,147128.jpg,coarse,whole_garment,0.32213106751441956,0.39032228100963484,"A front button is visible, but the box covers most of the denim shorts.",outputs\grounding_manual_audit\button\context\28_147128.jpg
29,button,small_object,context,clothing button,188933.jpg,coarse,whole_image,0.33598896861076355,0.9938299270233805,"Buttons are visible, but the box covers nearly the entire image.",outputs\grounding_manual_audit\button\context\29_188933.jpg
30,button,small_object,context,clothing button,024313.jpg,wrong,non_clothing_object,0.32210054993629456,0.037738630495584825,"Box is on the phone at the top, not the overall buttons.",outputs\grounding_manual_audit\button\context\30_024313.jpg
31,zipper,small_object,baseline,zipper,043288.jpg,wrong,footwear,0.316636860370636,0.026821272481502092,"Box is on the shoe, not a zipper.",outputs\grounding_manual_audit\zipper\baseline\31_043288.jpg
32,zipper,small_object,baseline,zipper,122697.jpg,wrong,footwear,0.3352932035923004,0.05745396582939059,"Box is on the shoe, not a zipper.",outputs\grounding_manual_audit\zipper\baseline\32_122697.jpg
33,zipper,small_object,baseline,zipper,044863.jpg,wrong,wrong_part,0.33614102005958557,0.030218257303707426,"Box is on the belt/buckle, not a zipper.",outputs\grounding_manual_audit\zipper\baseline\33_044863.jpg
34,zipper,small_object,baseline,zipper,159638.jpg,wrong,non_clothing_object,0.3100290298461914,0.03417051751512951,"Box is on the handbag/accessory, not a zipper.",outputs\grounding_manual_audit\zipper\baseline\34_159638.jpg
